Time,Icc,Pm,Vwind,Pout,Vcc,S1.Pm,S1.Cp,S1.pitch,S1.v_ms,S1.lambda,S1.RPM,S1.rad_s,S1.torque
0.144,-2.49401e-006,2.59075,100.8,-3.15291e-005,18,36.5212,0.0864598,15,28,2.46628,6594.36,690.56,0.00375167
0.145,-2.49045e-006,2.51582,100.8,-3.17512e-005,18,36.649,0.0867624,15,28,2.46979,6603.74,691.542,0.00363798
0.146,-2.4869e-006,2.59813,100.8,-3.19714e-005,18,36.7775,0.0870666,15,28,2.47331,6613.15,692.527,0.00375167
0.147,-2.47269e-006,2.60183,100.8,-3.21898e-005,18,36.9067,0.0873723,15,28,2.47683,6622.57,693.514,0.00375167
0.148,-2.47269e-006,2.60554,100.8,-3.24064e-005,18,37.0365,0.0876796,15,28,2.48036,6632.01,694.503,0.00375167
0.149,-2.47269e-006,2.53019,100.8,-3.26211e-005,18,37.1669,0.0879885,15,28,2.4839,6641.47,695.493,0.00363798
0.15,-2.45848e-006,2.61298,100.8,-3.28339e-005,18,37.2981,0.088299,15,28,2.48745,6650.96,696.486,0.00375167
0.151,-2.44782e-006,2.69601,100.8,-3.30448e-005,18,37.4299,0.088611,15,28,2.491,6660.46,697.481,0.00386535
0.152,-2.45848e-006,2.69987,100.8,-3.32538e-005,18,37.5624,0.0889247,15,28,2.49456,6669.98,698.479,0.00386535
0.153,-2.45137e-006,2.62421,100.8,-3.34608e-005,18,37.6956,0.0892401,15,28,2.49813,6679.52,699.478,0.00375167
0.154,-2.45137e-006,2.62796,100.8,-3.3666e-005,18,37.8295,0.089557,15,28,2.50171,6689.08,700.479,0.00375167
0.155,-2.45137e-006,2.71148,100.8,-3.38691e-005,18,37.9641,0.0898756,15,28,2.50529,6698.67,701.483,0.00386535
0.156,-2.43716e-006,2.6355,100.8,-3.40704e-005,18,38.0994,0.0901959,15,28,2.50889,6708.27,702.488,0.00375167
0.157,-2.43006e-006,2.63928,100.8,-3.42696e-005,18,38.2354,0.0905178,15,28,2.51248,6717.89,703.496,0.00375167
0.158,-2.4265e-006,2.72316,100.8,-3.44669e-005,18,38.372,0.0908414,15,28,2.51609,6727.54,704.506,0.00386535
0.159,-2.41585e-006,2.80729,100.8,-3.46622e-005,18,38.5095,0.0911667,15,28,2.51971,6737.2,705.518,0.00397904
0.16,-2.41585e-006,2.731,100.8,-3.48555e-005,18,38.6476,0.0914938,15,28,2.52333,6746.89,706.533,0.00386535
0.161,-2.41229e-006,2.65449,100.8,-3.50468e-005,18,38.7865,0.0918225,15,28,2.52696,6756.6,707.549,0.00375167
0.162,-2.40874e-006,2.73886,100.8,-3.52361e-005,18,38.926,0.0921529,15,28,2.5306,6766.33,708.568,0.00386535
0.163,-2.40874e-006,2.74281,100.8,-3.54233e-005,18,39.0664,0.0924851,15,28,2.53424,6776.07,709.589,0.00386535
